date,closing_price,symbol,type
2020-08-27,2885.0,USD/MNT,forex
2020-08-26,2883.5,USD/MNT,forex
2020-08-25,2883.5,USD/MNT,forex
2020-08-24,2881.5,USD/MNT,forex
2020-08-21,2879.5,USD/MNT,forex
2020-08-20,2877.5,USD/MNT,forex
2020-08-19,2878.0,USD/MNT,forex
2020-08-18,2873.0,USD/MNT,forex
2020-08-17,2873.0,USD/MNT,forex
2020-08-13,2866.5,USD/MNT,forex
2020-08-11,2865.0,USD/MNT,forex
2020-08-10,2864.0,USD/MNT,forex
2020-08-07,2855.0,USD/MNT,forex
2020-08-06,2844.0,USD/MNT,forex
2020-08-05,2818.0,USD/MNT,forex
2020-08-04,2864.5,USD/MNT,forex
2020-08-03,2853.0,USD/MNT,forex
2020-07-31,2854.5,USD/MNT,forex
2020-07-30,2845.0,USD/MNT,forex
2020-07-29,2853.5,USD/MNT,forex
2020-07-28,2850.0,USD/MNT,forex
2020-07-27,2835.0,USD/MNT,forex
2020-07-23,2837.5,USD/MNT,forex
2020-07-21,2835.5,USD/MNT,forex
2020-07-20,2835.0,USD/MNT,forex
2020-07-17,2833.5,USD/MNT,forex
2020-07-16,2833.0,USD/MNT,forex
2020-07-15,2833.0,USD/MNT,forex
2020-07-14,2834.0,USD/MNT,forex
2020-07-13,2831.0,USD/MNT,forex
2020-07-10,2831.0,USD/MNT,forex
2020-07-09,2829.0,USD/MNT,forex
2020-07-08,2826.5,USD/MNT,forex
2020-07-07,2828.0,USD/MNT,forex
2020-07-06,2828.0,USD/MNT,forex
2020-07-03,2826.0,USD/MNT,forex
2020-07-02,2829.0,USD/MNT,forex
2020-07-01,2831.5,USD/MNT,forex
2020-06-30,2828.5,USD/MNT,forex
2020-06-29,2825.0,USD/MNT,forex
2020-06-26,2825.0,USD/MNT,forex
2020-06-25,2822.5,USD/MNT,forex
2020-06-24,2819.0,USD/MNT,forex
2020-06-23,2816.0,USD/MNT,forex
2020-06-22,2818.0,USD/MNT,forex
2020-06-19,2817.0,USD/MNT,forex
2020-06-18,2821.0,USD/MNT,forex
2020-06-17,2816.0,USD/MNT,forex
2020-06-16,2805.0,USD/MNT,forex
2020-06-15,2801.5,USD/MNT,forex
2020-06-12,2810.0,USD/MNT,forex
2020-06-11,2810.0,USD/MNT,forex
2020-06-10,2807.5,USD/MNT,forex
2020-06-09,2807.5,USD/MNT,forex
2020-06-08,2809.5,USD/MNT,forex
2020-06-05,2806.5,USD/MNT,forex
